epoch,acc,loss,val_acc,val_loss
0,0.5783464,0.8514054068864872,0.769,0.44018126899997395
1,0.8996499,0.272614701000089,0.951,0.11850392042348783
2,0.9729955,0.08520895461153638,0.9546667,0.11026705855814119
3,0.9883314,0.03770239429759828,0.967,0.06406198144395603
4,0.99249876,0.024105473151851204,0.9673333,0.05997747378811861
5,0.99666613,0.01204443210906688,0.974,0.041619059949880466
6,0.9928321,0.020687159956838848,0.96033335,0.07740128211056192
7,0.9958326,0.016001170479688947,0.96666664,0.11328918518483988
8,0.99899983,0.0037340008704000154,0.9626667,0.3556952947789493
9,0.9984164,0.004225114468697184,0.96666664,0.2613020301335685
10,0.99674946,0.009346329335912418,0.96666664,0.1336982443741969
11,0.99908316,0.0037302539013524885,0.96666664,0.24020846767537782
12,0.998083,0.005582744851186785,0.96666664,0.20191947850829214
13,0.99958324,0.0016927200370827362,0.966,0.3742082327225944
14,0.99908316,0.0028754398045584945,0.95266664,0.21039941483953348
